date,usd_rate
2025-12-29,12057.32
2025-12-30,12025.33
2025-12-31,12025.33
2026-01-01,12025.33
2026-01-02,12025.33
2026-01-03,12025.33
2026-01-04,12025.33
2026-01-05,12004.41
2026-01-06,11952.24
2026-01-07,11968.59
2026-01-08,12033.28
2026-01-09,12109.02
2026-01-10,12109.02
2026-01-11,12109.02
2026-01-12,12131.55
2026-01-13,12099.18
2026-01-14,12048.04
2026-01-15,12001.71
2026-01-16,11969.66
2026-01-17,11969.66
2026-01-18,11969.66
2026-01-19,11962.78
2026-01-20,12051.71
2026-01-21,12073.29
2026-01-22,12122.07
2026-01-23,12136.92
2026-01-24,12136.92
2026-01-25,12136.92
2026-01-26,12084.95
2026-01-27,12098.12
2026-01-28,12128.02
2026-01-29,12168.98
2026-01-30,12199.1
2026-01-31,12199.1
2026-02-01,12168.98
2026-02-02,12225.16
2026-02-03,12242.17
2026-02-04,12258.38
2026-02-05,12265.77
2026-02-06,12279.48
2026-02-07,12279.48
2026-02-08,12279.48
2026-02-09,12303.16
2026-02-10,12320.34
2026-02-11,12309.99
2026-02-12,12287.31
2026-02-13,12275.58
2026-02-14,12275.58
2026-02-15,12275.58
2026-02-16,12220.98
2026-02-17,12191.3
2026-02-18,12137.86
2026-02-19,12132.48
2026-02-20,12169.41
2026-02-21,12169.41
2026-02-22,12169.41
2026-02-23,12212.79
2026-02-24,12236.13
2026-02-25,12187.68
2026-02-26,12137.1
2026-02-27,12136.57
2026-02-28,12136.57
2026-03-01,12136.57
2026-03-02,12172.18
2026-03-03,12190.57
2026-03-04,12209.86
2026-03-05,12179.81
2026-03-06,12175.53
2026-03-07,12175.53
2026-03-08,12175.53
2026-03-09,12175.53
2026-03-10,12191.25
2026-03-11,12158.13
2026-03-12,12135.76
2026-03-13,12102.39
2026-03-14,12102.39
2026-03-15,12102.39
2026-03-16,12081.63
2026-03-17,12091.22
2026-03-18,12129.01
2026-03-19,12129.01
2026-03-20,12129.01
2026-03-21,12178.85
2026-03-22,12178.85
2026-03-23,12178.85
2026-03-24,12192.06
2026-03-25,12196.0
2026-03-26,12171.61
2026-03-27,12179.87
2026-03-28,12179.87
2026-03-29,12179.87
2026-03-30,12195.5
2026-03-31,12210.71
2026-04-01,12194.21
2026-04-02,12142.1
2026-04-03,12149.84
2026-04-04,12149.84
2026-04-05,12149.84
2026-04-06,12170.67
2026-04-07,12175.34
2026-04-08,12208.08
2026-04-09,12228.58
2026-04-10,12198.28
2026-04-11,12198.28
2026-04-12,12198.28
2026-04-13,12158.59
2026-04-14,12126.1
2026-04-15,12141.38
2026-04-16,12190.43
2026-04-17,12165.24
2026-04-18,12165.24
2026-04-19,12165.24
2026-04-20,12128.46
2026-04-21,12097.33
2026-04-22,12060.55
2026-04-23,12042.49
2026-04-24,12015.96
2026-04-25,12015.96
2026-04-26,12015.96
2026-04-27,12020.48
2026-04-28,12072.96
2026-04-29,12029.2
2026-04-30,11974.79
2026-05-01,11937.6
2026-05-02,11937.6
2026-05-03,11937.6
2026-05-04,11952.73
2026-05-05,11993.53
2026-05-06,12037.21
2026-05-07,12074.28
2026-05-08,12074.28
2026-05-09,12114.97
2026-05-10,12114.97
2026-05-11,12114.97
2026-05-12,12141.94
2026-05-13,12145.65
2026-05-14,12073.42
2026-05-15,11975.36
2026-05-16,11975.36
2026-05-17,11975.36
2026-05-18,11986.3
2026-05-19,12019.27
2026-05-20,12055.81
2026-05-21,12076.18
2026-05-22,12021.22
2026-05-23,12021.22
2026-05-24,12021.22
2026-05-25,11979.64
2026-05-26,11997.83
2026-05-27,11997.83
2026-05-28,11997.83
2026-05-29,11997.83
2026-05-30,11997.83
2026-05-31,11997.83
2026-06-01,12001.94
2026-06-02,11949.03
2026-06-03,11934.64
2026-06-04,11970.68
2026-06-05,11997.21
2026-06-06,11997.21
2026-06-07,11997.21
2026-06-08,12049.44
2026-06-09,12013.4
2026-06-10,12035.22
2026-06-11,12054.03
2026-06-12,12014.48
2026-06-13,12014.48
2026-06-14,12014.48
2026-06-15,11981.81
2026-06-16,11979.83
2026-06-17,12012.12
2026-06-18,12052.05
2026-06-19,11937.6
2026-06-20,12085.56
2026-06-21,12085.56
2026-06-22,12058.45
2026-06-23,11990.26
2026-06-24,12017.04
2026-06-25,12024.4
2026-06-26,12013.52
2026-06-27,12013.52
2026-06-28,12013.52
2026-06-29,12009.29
2026-06-30,12060.84
2026-07-01,12009.27
2026-07-02,11934.24
2026-07-03,11909.66
2026-07-04,11909.66
2026-07-05,11909.66
2026-07-06,11973.9
2026-07-07,12042.05
2026-07-08,12021.32
2026-07-09,12004.75
2026-07-10,12012.21
2026-07-11,12012.21
2026-07-12,12012.21
2026-07-13,12075.98
2026-07-14,12092.87
2026-07-15,12065.49
2026-07-16,12088.98
2026-07-17,12093.35
2026-07-18,12093.35
2026-07-19,12093.35
2026-07-20,12031.25
2026-07-21,11960.09
2026-07-22,11986.56
2026-07-23,12048.84
2026-07-24,12101.84
2026-07-25,12101.84
2026-07-26,12101.84
2026-07-27,12019.08
2026-07-28,11988.92
2026-07-29,12050.34
2026-07-30,12035.26
2026-07-31,12048.84
2026-08-01,12006.39
2026-08-02,12012.21
2026-08-03,11960.18
2026-08-04,11989.46
2026-08-05,11942.21
2026-08-06,11886.72
2026-08-07,11915.64
2026-08-08,11915.64
2026-08-09,11915.64
2026-08-10,11952.1
2026-08-11,11934.61
2026-08-12,11889.95
2026-08-13,11948.58
2026-08-14,11937.89
2026-08-15,11937.89
2026-08-16,11937.89
2026-08-17,12024.4
2026-08-18,11857.35
2026-08-19,11820.4
2026-08-20,11794.88
2026-08-21,11847.16
2026-08-22,11847.16
2026-08-23,11847.16
2026-08-24,11853.55
2026-08-25,12024.4
2026-08-26,11778.52
2026-08-27,11823.69
2026-08-28,11801.23
2026-08-29,11801.23
2026-08-30,11801.23
2026-08-31,11801.23
2026-09-01,11937.89
2026-09-02,11820.48
2026-09-03,11813.09
2026-09-04,11795.0
2026-09-05,11795.0
2026-09-06,11795.0
2026-09-07,12024.4
2026-09-08,11789.33
2026-09-09,11813.21
2026-09-10,11797.92
2026-09-11,11783.47
2026-09-12,11783.47
2026-09-13,11783.47
2026-09-14,11765.76
2026-09-15,11891.18
2026-09-16,11774.92
2026-09-17,11797.46
2026-09-18,11833.37
2026-09-19,11839.59
2026-09-20,11839.59
2026-09-21,12021.32
2026-09-22,11942.21
2026-09-23,11802.19
